Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Active 	BUS2017-03273	F C I 	8180-8190 E KAISER BLVD, 92808 	LOAN SERVICING / ORIGINATIONS AND FORECLOSURES 
Active 	BUS2017-03274	TRANSPORTATION & LOGISTICAL CONCEPT 	421 N BROOKHURST ST 204, 92801 	TRANSPORTATION BROKER 
Active 	BUS2017-03275	MYSTIC GARDENS LAND CONSTRUCTION IN 	31312 CARRIL DE MADERAS, 42400 	Landscaping Contractor 
Received 	BUS2017-03276	SOCAL MACHINING INC 	500 E CERRITOS AVE, 92805 	MANUFACTURING OF ELECTRONIC CABLE CONNECTORS 
Received 	BUS2017-03276	SOCAL MACHINING INC 	500 E CERRITOS AVE, 92805 	MANUFACTURING OF ELECTRONIC CABLE CONNECTORS 
Currently Renewing 	BUS2017-03277	TIEN H NGUYEN 	2508 W CHANTICLEER RD, 92804 	OFFICE USE ONLY FOR ONLINE SALES 
Active 	BUS2017-03278	PRO VALET 	3395 MICHELSON DR 4531, 47521 	VALET SERVICES FOR SPECIAL EVENTS (NO EMPLOYEES)  
Currently Renewing 	BUS2017-03279	LIGHTHOUSE TREATMENT CENTER 	1253 W PEARL ST, 92801 	RESIDENTIAL CARE FACILITY 6 OR FEWER (1253 W PEARL ST) (EMPLOYEES REPORTED ON BUS2015-03070) 
Currently Renewing 	BUS2017-03280	LIGHTHOUSE TREATMENT CENTER 	1243 1/2-1243 W PEARL ST, 92801 	RESIDENTIAL CARE FACILITY 6 OR FEWER (1243 & 1243 1/2 W PEARL ST) (EMPLOYEES REPORTED ON BUS2015-03070) 
Active 	BUS2017-03281	PARKS POOL SERVICE 	1415 W NORTH ST 420, 92801 	OFFICE USE FOR OFF-SITE POOL MAINTANENCE SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03282	IGLESIA SUNKIST DE LA COMMUNIDAD 	701 S SUNKIST ST, 92806 	CHURCH  
Currently Renewing 	BUS2017-03283	H D Z LANDSCAPE 	805 E BALSAM AVE C, 45631 	Landscaping Contractor 
Active 	BUS2017-03284	ANA T TRAN 	2014 W MINERVA AVE, 92804 	OFFICE USE ONLY FOR ONLINE SALES 
Active 	BUS2017-03285	BLOOM ENERGY CORPORATION 	1299 ORLEANS DR, 89911 	FUEL CELLS 
Active 	BUS2017-03286	MENLO 2014 CHARITABLE LEAD TRUST 	501 S BEACH BLVD, 92804 	NONRESIDENTIAL BUILDING OPERATORS 
Active 	BUS2017-03287	RED ONE ENGINEERING 	1295 DISTRIBUTION WAY, 97241 	CIVIL ENGINEER 
Currently Renewing 	BUS2017-03288	DAVITA INC 	1341 W LA PALMA AVE, 92801 	ADMININSTRATIVE OFFICE FOR HOLDING COMPANY (NO EMPLOYEES)  
Active 	BUS2017-03289	ARMORCENTRIC INC 	920 E ORANGETHORPE AVE C, 92801 	Window Coverings Contractor  
Active 	BUS2017-03290	INNOVATIVE FOOD SYSTEMS INC 	1295 S LEWIS ST, 92805 	WHOLESALE ICE CREAM MACHINE AND INGREDIENTS 
Active 	BUS2017-03291	MICHAELS FIX REPAIR & PAINT 	212 S KRAEMER BLVD 202, 45723 	HANDYMAN WORK  
Active 	BUS2017-03292	PACIFIC BEND INC 	1700 W COLTON AVE, 97946 	METAL PRODUCTS CONTRACTOR 
Active 	BUS2017-03293	FREDDYS FIX ALL INC 	315 N BARRYKNOLL ST, 45631 	Office use only for General Building Contractor 
Active 	BUS2017-03294	CAROL PENNINO PROPERTY MANAGEMENT 	8121 KATELLA AVE, 48986 	PROPERTY MANGEMENT SERVICES  
Finaled 	BUS2017-03295	CARLOS TABORA MARKETING 	5601 E ORANGETHORPE AVE L106, 92807 	OFFICE USE ONLY FOR MARKETING AND WEBSITE DESIGN SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-03296	SUNSET VANS INC 	1345 N DYNAMICS ST D, 92806 	ATTACHING WHEELCHAIR ATTACHMENTS TO VEHICLES 
Active 	BUS2017-03297	NEHEMIAH REBAR SERVICES INC 	3932 PONDEROSA RD 204, 69333 	Reinforcing Steel Contractor 
Active 	BUS2017-03298	MICKLE & LUCKY ESTATES LLC 	1401 E LINCOLN AVE, 92805 	4 UNIT APARTMENT BUILDING OPERATOR  
Currently Renewing 	BUS2017-03299	MURRAY BROTHERS ENTERPRISES INC 	1081 N SHEPARD ST M, 92806 	STORAGE FOR MARKETING COMPANY 
Active 	BUS2017-03301	EXP US SERVICES INC 	56 QUEEN ST E 301,  	CONSULTING ENGINEERING SERVICES  
Active 	BUS2017-03300	POWER ELECTRIC 	12048 CENTRALIA RD E, 08094 	Electrical Contractor 
Active 	BUS2017-03302	BEBOUT FAMILY PROPERTIES 	909 S PARK CIR, 92804 	WASHERS (2) / DRYERS (2) TOTAL OF 4 MACHINES 
Active 	BUS2017-03303	MCVINS CONSTRUCTION LLC 	200 N CRESCENT WAY I, 92801 	HANDYMAN SERVICES (NO EMPLOYEES) **NOT A STATE LICENSED CONTRACTOR** 
Finaled 	BUS2017-03304	TREMENDOUS! ENTERTAINMENT INC 	10100 VIKING DR 200, 24693 	FILMING REALITY TV PRODUCTION@ CINDERELLA CAKES (SHOOTING DATES OCT 2 - 6, 2017) (8 EMPLOYEES) 
Active 	BUS2017-03305	J & C VENDING 	824 S VERONA ST, 92804 	OFFICE USE FOR OFF-SITE VENDING MACHINE SALES OF GOODS AND SNACKS 
Active 	BUS2017-03306	AGELESS ENVIRONMENTS INC 	1120 W RIVIERA DR, 45574 	STATE LICENSED ARCHITECT 
Active 	BUS2017-03307	LYNNS GENEALOGY PARTIES 	4804 E TANGLEWOOD AVE, 92807 	OFFICE USE FOR GENEALOGICAL INVESTIGATION SERVICES  
Currently Renewing 	BUS2017-03308	FLYTE SPORT 	2221 E WINSTON RD N, 92806 	WAREHOUSE / WHOLESALE OF APPAREL AND HEALTH FOOD/VITAMINS 
Active 	BUS2017-03309	AIGERIM B WONG 	520 S SONYA ST, 92802 	OFFICE USE ONLY FOR ONLINE RETAIL SALES OF CLOTHING AND SHOES 
Active 	BUS2017-03310	DEAR CAKE 	741 S PASEO CUMBRE, 92807 	OFFICE USE FOR OFF-SITE CAKE SALES AND PARTY DECORATION RENTAL SERVICES (GROSS RECEIPTS INCLUDED FROM BUS2017-03313) 
Finaled 	BUS2017-03311	PASSION MASSAGE (TRUONG, THUY T) 	1877 W KATELLA AVE, 92804 	MASSAGE TECHNICIAN (TRUONG, THUY THU THI) CMTC #59316 EXP: 08/15/2018 
Active 	BUS2017-03312	GOOD DAYS CONSTRUCTION 	8395 MARS DR, 49945 	General Building Contractor 
Active 	BUS2017-03313	DEAR BABY 	741 S PASEO CUMBRE, 92807 	OFFICE USE FOR OFF-SITE CAKE SALES AND PARTY DECORATION RENTAL SERVICES (GROSS RECEIPTS REPORTED ON BUS2017-03310) 
Active 	BUS2017-03314	ARCHITECTURAL GLAZING SYSTEMS 	12006 REGENTVIEW AVE B, 37730 	Glazing Contractor 
Active 	BUS2017-03315	SILVA'S CONSTRUCTION 	8811 SYRACUSE AVE, 45631 	General Building Contractor 
Active 	BUS2017-03316	KNIGHTS ELECTRICAL SIGNS 	32363 MUSTANG DR, 57751 	Electrical Sign Contractor 
Finaled 	BUS2017-03317	 	, 47541 	 
Active 	BUS2017-03318	ASHLYNN LE 	18415 JACARANDA ST, 47541 	MANAGEMENT SERVICES FOR SHORT TERM RENTAL PROPERTY **NO EMPLOYEES** 
Active 	BUS2017-03319	ALVAREZ AND SHAW INCORPORATED 	13080 HWY BUSINESS 8, 93907 	General Engineering Contractor 
Active 	BUS2017-03320	CREATIVE MARKETING AND BUSINESS DEV 	1930 W LULLABY LN, 92804 	OFFICE USE ONLY FOR ONLINE MARKETING AND OFFICE CONSULTING (NO EMPLOYEES)  
Finaled 	BUS2017-03321	R M HILL LLC 	2518 MAYBERRY ST, 33844 	DESIGNER / ARCHITECT 
Currently Renewing 	BUS2017-03322	LUNABELLA VACTION HOMES 	2522 CHAMBERS RD, 45418 	PROPERTY MANAGEMENT SERVICES TO VACATION RENTALS **NO EMPLOYEES** 
Active 	BUS2017-03323	S P S GAME CONSOLE DISTRIBUTOR INC 	1255 S NUTWOOD ST 3, 92804 	WHOLESALE OF GAME SYSTEMS AND NEW IPHONES 
Active 	BUS2017-03324	EARLY HARVEST ENTERPRISES LLC 	283 HUNTINGTON, 47521 	GERNERAL CONSULTANT 
Finaled 	BUS2017-03325	OURSEOTORE 	141 S DALE AVE 12, 92804 	OFFICE USE ONLY FOR ONLINE SALES OF OUTDOOR EQUIPMENT 
Active 	BUS2017-03326	LASER CARGO 	810 S WEBSTER AVE 3, 92804 	OFFICE USE ONLY FOR TOWING SERVICES (NO EMPLOYEES) ************TRUCK STORED OFFSITE************ 
Active 	BUS2017-03327	A2Z SIGN COMPANY 	1777 W ARROW RTE B303, 49466 	Electrical Sign Contractor 
Active 	BUS2017-03328	CORONA DESIGN 	1651 E 4TH ST 228, 45574 	DRAFTING AND DESIGN SERVICES  
Active 	BUS2017-03329	INLAND ENGINEERING SERVICES INC 	4160 TEMESCAL CANYON RD 205, 97346 	ENGINEERING DESIGN SERVICES  
Active 	BUS2017-03330	NATALIE KATHLEEN SCHMITZ LCSW 	1661 N RAYMOND AVE 214, 92801 	PSYCHOTHERAPY/COUNSELING LMFT #64000 EXP 12/31/2017 
Currently Renewing 	BUS2017-03331	MASS ARCHITECTURE AND DESIGN 	2330 W 3RD ST 7, 33844 	ARCHITECTURAL SERVICES  
Active 	BUS2017-03332	GLORIOUS KINGDOM TATTOO 	2000 W LINCOLN AVE 203,204, 92804 	TATTOO PARLOR (ALL EMPLOYEES ARE INDEPENDENT) 
Finaled 	BUS2017-03333	QUEEN NAILS (PAGE-LE, EMILY) 	240 W LINCOLN AVE, 92805 	INDEPENDENT MANICURIST: PAGE-LE, EMILY STATE LICENSE: M285432 EXP: 09/30/2017 
Active 	BUS2017-03334	ADAMS BROTHERS POOL PLASTERING INC 	14349 WOODRUFF, 38676 	SWIMMING POOL CONTRACTOR 
Active 	BUS2017-03335	SHAHIN CHIROPRATIC 	905-907 N EUCLID ST C, 92801 	CHIROPRATIC OFFICE *1 EMPLOYEE* 
Active 	BUS2017-03336	HAMID HELMANDI 	8728 ZELZAH AVE AVE, 84448 	General Building Contractor 
Active 	BUS2017-03337	EAGLE EYE SECURITY SERVICES 	2421 E BALL RD 89, 92806 	ADMINISTRATIVE OFFICE FOR SECURITY SERVICES (PPO#9433) 
Currently Renewing 	BUS2017-03338	NICHOLAS BUSTOS 	3010 E CORONADO ST H, 92806 	PERSONAL STORAGE (NO EMPLOYESS)  
Finaled 	BUS2017-03339	SWOOSH 	2622 W LINCOLN AVE 105, 92804 	RETAIL CLOTHING STORE 
Finaled 	BUS2017-03340	ANAHEIM FALL FESTIVAL 	350 W CENTER STREET PROMENADE, 92805 	FALL FESTIVAL OCT 28 2017 SEP2017-00135 29 BOOTHS 1 RIDE 
Active 	BUS2017-03341	PACIFIC STEEL GROUP 	4805 MURPHY CANYON ROAD, 95710 	Reinforcing Steel Contractor 
Active 	BUS2017-03342	SPECTRUM DEVELOPMENT GROUP INC 	4 VENTURE 100, 47521 	REAL ESTATE DEVELOPMENT AND CONSULTING  
Currently Renewing 	BUS2017-03343	DR BEARD BARBERSHOP 	512 S BROOKHURST ST 1, 92804 	BARBER SHOP *2 EMPLOYEES* 
Currently Renewing 	BUS2017-03344	MARKS DESSERTS LLC 	3130 W LINCOLN AVE, 92804 	MANUFACTURING AND DESIGN OF DESSERTS ***SALES ARE CONDUCTED OFF-SITE*** 
Active 	BUS2017-03345	ANAHEIM SMOG 	1202 E LINCOLN AVE, 92805 	SMOG CHECK SERVICE (NO EMPLOYEES) 
Active 	BUS2017-03346	SPECTRUM BEHAVIORAL THERAPIES 	1331 E KATELLA AVE 101, 92805 	OFFICE USE ONLY FOR BEHAVIORAL THERAPY 
Active 	BUS2017-03347	HOWOOJU 	821 S ANAHEIM BLVD 104,  	OFFICE USE ONLY FOR ONLINE SALES OF GENERAL GOODS 
Active 	BUS2017-03348	PRO DEVELOPMENT GROUP INC 	1017 N LA FLORES AVE, 37219 	General Building Contractor 
Currently Renewing 	BUS2017-03349	HOME NAILS CARE 	1821 E CYPRESS ST, 92805 	OFFICE USE FOR MOBILE NAIL SERVICES ***NO RETAIL SALES PERMITTED*** 
Active 	BUS2017-03350	FIVE STAR PROMOTIONS INC 	3920 E CORONADO ST 111, 92807 	WAREHOUSING, ON-LINE RETAIL SALES AND WHOLESALES OF PROMOTIONAL PRODUCTS 
Finaled 	BUS2017-03351	LILIAN RODRIGUEZ LINGERIE 	2230 W COLCHESTER DR 1,2, 92804 	RESALE OF GENERAL MERCHANDISE 
Active 	BUS2017-03352	CORTECH ENGINEERING 	1340 N JEFFERSON ST, 92807 	SALES AND SERVICE OF INDUSTRIAL PUMPS AND RELATED ITEMS 
Active 	BUS2017-03353	GOLD STAR PLUMBING SERVICE 	1314 E SANDALWOOD AVE, 92805 	PLUMBING CONTRACTOR 
Active 	BUS2017-03354	TRACTOR WORKS 	12881 OLYMPIA WAY, 45574 	General Engineering Contractor 
Active 	BUS2017-03355	MY RIDEMAKER LLC 	1540 S DISNEYLAND DR 103, 92802 	RETAIL SALES OF TOY CARS 
Active 	BUS2017-03356	EPTDESIGN INC 	401 GLENNEYRE ST, 43769 	LANDSCAPE ARCHITECTURE  
Active 	BUS2017-03357	PASSION MASSAGE (HOANG, HONG THI) 	1877 W KATELLA AVE, 92804 	CERTIFIED MASSAGE THERAPIST - HONG THI HOANG (CAMTC LIC# 15305 EXP: 10/19/2018) 
Active 	BUS2017-03358	BARONHR LLC 	50 S ANAHEIM BLVD 220, 92805 	EMPLOYMENT AND PAYROLL SERVICES **4 EMPLOYEES** 
Active 	BUS2017-03359	LUIS MONTES 	1822 E ROSEWOOD AVE, 92805 	OFFICE USE FOR GENERAL CONTRACTOR (NO OUTSIDE STORAGE) 
Active 	BUS2017-03360	I L MECHANICAL INC 	28306 INDUSTRIAL BLVD J, 57838 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03361	NORMAN S WRIGHT/AIRELINK MECHANICAL 	3325 E LA PALMA AVE,  	OFFICE USE FOR HVAC CONTRACTOR 
Active 	BUS2017-03362	TALKWAYS A SPEECH LANGUAGE PATHOLOG 	5150 E LA PALMA AVE 108, 92807 	OFFICE USE FOR SPEECH & LANGUAGE THERAPY TO CHILDREN & ADULTS **ONE EMPLOYEE** 
Active 	BUS2017-03363	SERVICEMASTER COMMERCIAL CLEANING B 	5615 E PLAZA DE VAQUEROS, 92807 	OFFICE USE ONLY FOR COMMERCIAL CLEANING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03364	CHAE YONG KWAK 	3620 W PICO BLVD, 33844 	Electrical Sign Contractor 
Currently Renewing 	BUS2017-03365	RENOWN AUTO STYLE 	3355 E MIRALOMA AVE 165, 92806 	WAREHOUSING / WHOLESALE FOR AUTOMOTIVE PARTS (SUBLEASING) 
Active 	BUS2017-03366	MULTI COMM 	1500 S SUNKIST ST A,B, 92806 	CONTRACTOR'S OFFICE FOR WAREHOUSING, WHOLESALES AND REPAIRS OF LOW VOLTAGE EQUIPMENT 
Active 	BUS2017-03367	ANAHEIM SMOKE & VAPE SHOP 	1674 W LINCOLN AVE, 92802 	SMOKE SHOP *MARIJUANA PROHIBITED* 
Currently Renewing 	BUS2017-03368	COACHES INK 	1423 W DAMON AVE, 92802 	OFFICE USE ONLY FOR OFF-SITE SALES OF ATHLETIC APPAREL 
Currently Renewing 	BUS2017-03369	CREATIVE MANUFACTURING 3D 	1723 S CLAUDINA WAY, 92805 	WHOLESALE & ONLINE RESALE OF 3D PRINTING 
Active 	BUS2017-03370	GENERAL CONSTRUCTION MANAGEMENT 	540 S CASITA ST, 92805 	HOME OFFICE FOR CONSTRUCTION LOGISTICS SERVICE (NO EMPLOYEES) 
Finaled 	BUS2017-03372	CHARMIN SPA MASSAGE 	2424 W BALL RD E, 92804 	MASSAGE ESTABLISHMENT OPERATOR - MEI H NI 
Active 	BUS2017-03371	THE AMGRAPH GROUP 	2091 DEL RIO WAY, 46274 	Sign Installation 
Active 	BUS2017-03373	YAMAMA INTERNATIONAL TRADING LLC  	114 N MERRIMAC DR A, 92807 	OFFICE USE ONLY FOR TRADING AND IMPORT AND EXPORT 
Active 	BUS2017-03374	MAZHAR MEDICAL GROUP INC 	2500 E BALL RD 200, 92806 	MANAGEMENT OFFICE FOR XRAY REPORTS 
Active 	BUS2017-03375	COMPASSUS HOSPICE ANAHEIM 	2401 E KATELLA AVE 440, 92806 	HOSPICE CARE ADMIN OFFICES 
Active 	BUS2017-03376	MINUTE KEY INC 	121 N BEACH BLVD, 92801 	UNMANNED SELF-SERVICE KEY CUTTING VENDING MACHINE (KIOSKS INSIDE WALMART #3101) 
Active 	BUS2017-03377	MINUTE KEY INC 	130 W LINCOLN AVE, 92805 	UNMANNED SELF-SERVICE KEY CUTTING VENDING MACHINE (KIOSKS INSIDE VONS #2328) 
Active 	BUS2017-03378	MINS DUMPLING HOUSE 	627 N EUCLID ST, 92801 	CHINESE RESTAURANT  
Active 	BUS2017-03379	FREEMAN CORDRAY 	1110 E ORANGEFAIR LN C, 92801 	PERSONAL STORAGE 
Active 	BUS2017-03380	MIKE HALE CONSTRUCTION 	11143 ALAMO RD, 47993 	General Building Contractor 
Active 	BUS2017-03381	YOSUKE SUSHI 	132 S FAIRMONT BLVD, 92808 	JAPANESE SUSHI RESTAURANT 
Active 	BUS2017-03382	WEST COAST WINDOWS AND HOME IMPROVE 	1151 POMONA RD, 97346 	General Building Contractor 
Active 	BUS2017-03383	NEWER LIFESTYLE SOBER LIVING 	409 S FLORETTE ST, 92804 	SOBER LIVING HOME 
Active 	BUS2017-03384	NEXT LEVEL PLUMBING 	1594 LOYOLA DR, 93385 	Plumbing Contractor 
Active 	BUS2017-03385	GOPI THREADING BEAUTY SALON 	2978 W BALL RD, 92804 	THREADING, WAXING, AND HENNA SERVICES 
Active 	BUS2017-03386	CUSTOM IRON WORKS CO 	1427 LIDCOMBE AVE, 84421 	Ornamental Metal 
Currently Renewing 	BUS2017-03387	ABSOLUTE BUILDING SERVICES INC 	1560 S ANAHEIM BLVD A, 45631 	General Building Contractor 
Currently Renewing 	BUS2017-03388	NUTRICION IDEAL 	2630 W LA PALMA AVE, 92801 	RETAIL SALES OF HEALTH FOOD 
Active 	BUS2017-03389	Y H CO 	1721 W KATELLA AVE J, 92804 	OFFICE USE FOR ONLINE SALES OF GENERAL MERCHANDISE, HOUSEHOLD CONSUMERABLES & GROCERY 
Active 	BUS2017-03390	ORIE2 ENGINEERING INC 	9750 MIRAMAR RD 310, 95710 	STRUCTURAL ENGINEER DESIGN 
Active 	BUS2017-03391	RAY SECURITY CONSULTANTS 	175 N AVENIDA CIENEGA, 92807 	OFFICE USE ONLY FOR SALES AND CONSULTATION OF CCTV EQUIPMENT 
Active 	BUS2017-03392	NOTARY GARY 	175 N AVENIDA CIENEGA, 92807 	OFFICE USE ONLY FOR NOTARY PUBLIC 
Active 	BUS2017-03393	MC GUAN CONSTRUCTION & PLUMBING 	27634 SYCAMORE CREEK DR, 88576 	General Building Contractor 
Active 	BUS2017-03394	AN LAC 	710 S BROOKHURST ST G, 92804 	SALES OF ORIENTAL HERBS - (MEDICAL MARIJUANA PROHIBITED)  
Active 	BUS2017-03395	ARROWHEAD REMODELING & DESIGN INC 	18345 VENTURA BLVD 212, 86099 	General Building Contractor 
Active 	BUS2017-03396	ULITI UATA CONSOLIDATORS 	1835 W CRESTWOOD LN 8, 92804 	OFFICE USE ONLY FOR LOGISTICS ADMINISTRATIVE SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03397	ATWORK PERSONNEL SERVICES 	140 S CHAPARRAL CT 240, 92808 	STAFFING AGENCY (2 EMPLOYEES) 
Active 	BUS2017-03398	ALEXANDER MACABUHAY 	2260 W LINCOLN AVE U4, 92804 	Electrical Contractor 
Active 	BUS2017-03399	BONANZA PLUMBING 	2259 HAMNER AVE, 47367 	General Building Contractor 
Active 	BUS2017-03400	LP LANDSCAPE CONSTRUCTION INC 	410 W GROVE AVE 260, 45498 	Landscaping Contractor 
Active 	BUS2017-03401	CARSPECS USA  	970 N TUSTIN AVE 205, 92807 	AUTO BROKER, WHOLESALE & RETAIL AUTO DEALER 
Active 	BUS2017-03402	EXPERT COATINGS & GRAPHICS 	1570 S LEWIS ST, 92805 	MANUFACTURING OF MEDICAL PARTS, COMPONENTS, PADPRINTING, ASSEMBLY, WAREHOUSING 
Active 	BUS2017-03403	JIM BUCKLEY & ASSOCIATES INC 	160 S OLD SPRINGS RD 200, 92808 	OFFICE USE FOR INSURANCE ADJUSTERS (SUBLEASE) (NO EMPLOYEES) 
Received 	BUS2017-03404	RHYTHMO INC 	329 W CERRITOS AVE, 92805 	NON PROFIT ORGANIZATION 
Finaled 	BUS2017-03405	RHYTHMO INC 	329 W CERRITOS AVE, 92805 	1 DAY EVENT OCTOBER 14TH 10 BOOTHS 
Active 	BUS2017-03406	LA SIRENA MEXICAN RESTAURANT 	1188 W KATELLA AVE, 92802 	RESTAURANT 
Active 	BUS2017-03407	EXPOBADGE INC 	4081 E LA PALMA AVE E, 92807 	LEAD RETRIEVAL EQUIPMENT RENTAL SERVICES  
Active 	BUS2017-03408	LIFE IZ EGG 	2665 W LINCOLN AVE, 92801 	PHOTOGRAPHY STUDIO  
Active 	BUS2017-03409	ORANGE COUNTY SENIOR CARE SPECIALIS 	568 S SILVERADO WAY, 92807 	OFFICE USE FOR SENIOR CARE REFERRAL SERVICE (NO EMPLOYEES)  
Active 	BUS2017-03410	KODIAK CONCEPTS INC 	26212 DIMENSION DR 160, 47688 	Lathing and Plastering Contractor 
Active 	BUS2017-03411	JOSE MIGUEL ESCOBAR 	17062 ALTADENA DR E, 45418 	JANITORIAL CLEANING SERVICES 
Active 	BUS2017-03412	U L ELECTRIC INC 	1329 S MASTERSON RD, 92804 	OFFICE USE ONLY FOR ELECTRICAL CONTRACTOR 
Active 	BUS2017-03413	24 7 CONCRETE PUMPING 	10920 LAUREL AVE, 39443 	Concrete-Related Services 
Active 	BUS2017-03414	CARDINAL INVESTMENT PROPERTIES LLC 	1270 S TALT AVE, 92806 	NON RESIDENTIAL PROPERTY OWNER (SQ FT 10,000) 
Active 	BUS2017-03415	PRICELESS PHOTOGRAPHY BY ALEXANDER  	1781 S CAMPTON AVE 424, 92805 	OFFICE USE ONLY FOR OFF-SITE PHOTOGRAPHY 
Active 	BUS2017-03416	MERCY HOUSE 	1000 N KRAEMER PL, 92806 	24 HOUR EMERGENCY SHELTER 
Finaled 	BUS2017-03417	CANVAS MOTION PICTURES INC 	11800 W PICO BLVD, 33844 	FILMING INTERVIEWS@ 88 E ORANGETHROPE AVE (10 EMPLOYEES; SHOOTING ON 10/11/2017) 
Active 	BUS2017-03418	DANIEL BLAZER 	406 N WEDGEWOOD DR, 92801 	RETAIL SALES AND ASSEMBLY OF FIREARMS 
Active 	BUS2017-03419	KELLEYS ENTERPRISE 	725 N ROSE ST, 92805 	ADMINISTRATIVE OFFICE FOR SALES AT SWAT MEETS AND BILLING 
Active 	BUS2017-03420	PAW CONSTRUCTION INC 	8408 OLNEY ST, 00000 	General Building Contractor 
Active 	BUS2017-03421	MICRON SYSTEMS LLC 	3306 COGSWELL RD, 64541 	INFORMATION TECHNOLOGY SERVICES  
Active 	BUS2017-03422	MAXIM ELEC 	23723 OXNARD ST, 83408 	Electrical Contractor 
Active 	BUS2017-03423	NOBLE ELECTRIC LLC 	1931 S MYRTLE, 83592 	Electrical Contractor 
Active 	BUS2017-03424	FRANCISCO HERNANDEZ 	320 N PARK VISTA ST 133, 92806 	OFFICE USE ONLY FOR CLEANING SERVICE 
Active 	BUS2017-03425	ARROWHEAD DIGITAL SOLUTIONS INC 	2239 BUSINESS WAY, 93590 	Low Voltage Systems 
Currently Renewing 	BUS2017-03426	E D D G INC 	22834 BRENFORD ST, 83408 	ARCHITECTURAL / ENGINEERING SERVICES  
Currently Renewing 	BUS2017-03427	BOB CHENEY PLUMBING 	1766 SECOND ST, 89609 	Plumbing Contractor 
Active 	BUS2017-03428	COASTAL DREAM DOCS INC 	4879 E LA PALMA AVE 203, 92807 	ADMINISTRATION OFFICE FOR DOCTOR CONSULTING IN HAWAII 
Active 	BUS2017-03429	COASTAL MEDICAL SUPPLY INC 	4879 E LA PALMA AVE 203, 92807 	PHYSICIAN ADMINISTRATION OFFICE FOR MEDICAL SUPPLY IN HAWAII 
Active 	BUS2017-03430	MBK CONSTRUCTION 	4712 ADMIRALTY WAY 177, 38216 	General Building Contractor 
Finaled 	BUS2017-03431	NUNCO CONSTRUCTION INC 	1719 W CRESTWOOD LN, 92804 	OFFICE USE ONLY FOR HANDYMAN SERVICES ***********fees due and missing federal ID**************** 
Received 	BUS2017-03432	ACCURATE FIRE EXTINGUISHER SERVICE 	1188 N FOUNTAIN WAY A, 92806 	WAREHOUSE, REPAIR & WHOLESALE OF FIRE EXTINGUISHERS *2 EMPLOYEES* 
Active 	BUS2017-03433	F J S CABLE ENGINEERING INC 	14340 BOLSA CHICA RD K, 48938 	Low Voltage Systems 
Active 	BUS2017-03434	A C EXCLUSIVE MOMENTS 	956 S ANAHEIM BLVD B, 92805 	PARTY & EVENT PLANNING SERVICE *NO EMPLOYEES* 
Currently Renewing 	BUS2017-03435	CREDIT UNION OF SOUTHERN CALIFORNIA 	200 W CENTER STREET PROMENADE 101, 92805 	CREDIT UNION 
Finaled 	BUS2017-03436	NADIMA WEAR INC 	8175 E KAISER BLVD, 92808 	ONLINE CLOTHING SALES 
Active 	BUS2017-03438	HOME DECOR FURNITURE AND MATTRESS 	95 E ORANGETHORPE AVE, 92801 	RETAIL FURNITURE 
Active 	BUS2017-03437	P R HEATING & COOLING 	12082 9TH ST, 45301 	Warm-Air Heating, Ventilating and Air Cond 
Received 	BUS2017-03439	KINGSPAN LIGHT & AIR LLC 	401 E GOETZ AVE, 45574 	Manufactures industrial, retail, municipal, custom, and residential skylights 
Active 	BUS2017-03440	ZAENGLE CONSTRUCTION AND DESIGN 	23412 PACIFIC PARK DR 19D, 48305 	General Building Contractor 
Active 	BUS2017-03441	KEPT KLEAN 	2870 W POLK AVE, 92801 	OFFICE USE ONLY FOR OFF-SITE MOBILE CAR WASH 
Active 	BUS2017-03442	EMBROIDERY UNLIMITED 	2366 E ORANGETHORPE AVE, 92806 	WAREHOUSE/EMBROIDERY SERVICES 
Active 	BUS2017-03443	AMERCON CALIFORNIA 	1700 W CERRITOS AVE 359, 45631 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03444	D LIGHTING INC 	28522 PERRY RD, 96986 	SPECIAL EVENT LIGHTING 
Active 	BUS2017-03445	OLIVER COMPANY 	1345 N RED GUM ST 26, 92806 	CABINET SHOP *2 EMPLOYEE/NOT A STATE LICENSED CONTRACTOR* 
Active 	BUS2017-03446	EDEN FLOORING & CONSTRUCTION INC 	18034 VENTURA BLVD 305, 37088 	General Building Contractor 
Active 	BUS2017-03447	THE HONEST ENERGY COMPANY INC 	212 212 20TH ST, 47234 	Electrical Contractor 
Active 	BUS2017-03448	CLOVER SYSTEMS SOLUTIONS INC 	2744 E MIRALOMA AVE, 92806 	OFFICE USE OF IT PROGRAMMING, & CONSULTING SERVICES 
Active 	BUS2017-03449	ABOVE ALL CATERING INC 	218 S MAGNOLIA AVE, 92804 	CATERING (OFF-PREMISES)  
Active 	BUS2017-03450	BARDEZ 	914 S TREMAINE AVE, 33844 	CIVIL ENGINEERING SERVICES 
